claim,location,evidence,strength,notes
Withheld categories are present in DroidDetect's named training split,Sec III,aicd/eval/reports/exposure_audit.json: 846598 rows; union share 35.64%,measured,"Presence in the named split, not survival of the publisher's undisclosed filter"
A third party's withheld categories are present in that same split,Sec III-B,aicd/eval/reports/aicdbench_audit.json: all six AICD Bench Task 1 languages present; union 283763 rows (33.52%),measured,"Neither the categories nor the split were chosen by us; this is the non-circular form of the claim"
Scoring on training rows flatters most where the benchmark tests hardest,Sec III-C,aicd/eval/reports/published_shift.json: shard effect +0.0377 on S2 rising to +0.1730 on S5,measured,Clean-shard drop 0.1598 S1 to S5 on 783-814 rows per condition
Exposure causes the S1-to-S5 collapse,Sec VI,aicd/eval/reports/paired_differences.json + twin_control.json: S1 +0.0000 [-0.0055 +0.0049]; S5 +0.3444,controlled experiment,Matched twin; identical architecture recipe seed and evaluation rows
The exposure effect is not initialisation noise,Sec VI-A,aicd/eval/reports/seed_twin.json: S5 mean +0.3522 sd 0.0125 across three seeds (28 SD from zero),measured,"In-distribution null holds at 0.8 SD; generator axis +0.0200 sd 0.0038 survives at 5.3 SD"
The axis ordering survives matching on comparable rows,Sec VI-B,aicd/eval/reports/matched_axis.json: source +0.1435 [+0.1362 +0.1517] vs generator +0.0294 [+0.0220 +0.0365],measured,"Ordering holds with disjoint intervals; ratio 4.9x matched against 19.6x over all rows"
The ordering is not explained by shift magnitude,Sec VI-C,Appendix PSI: S3 1.474 vs S4 0.776 while S3's effect is smaller,measured,Exposure gain does not track PSI monotonically
The source-axis effect is not token coverage,Sec VI-D,aicd/eval/reports/language_clean.json: +0.4105 [+0.3884 +0.4329] with no untrained language in training,measured,S3 collapses to +0.0067 for the clean arm as its construction predicts
Not prior shift,Sec VIII,aicd/eval/reports/shift_diagnosis_a.json: oracle priors recover nothing; BBSE reaches 1.0000 human FPR,measured,Threshold refit recovers the operating point without touching accuracy
Not one initialisation,Sec VII-B,aicd/eval/reports/seed_sweep_six.json: six seeds; drop 0.6391 [0.6237 0.6544],measured,
Not a design choice,Sec VII-C,aicd/eval/reports/variance_components.json: design sd 0.0109 vs seed sd 0.0146; ratio 1.35,measured,"Compared on standard deviations, not ranges, because range grows with sample size"
Not one encoder family,Sec VII-D,aicd/eval/reports/e3_panel.json: three encoders; drop spread 0.0134,measured,
Conditions are not intrinsically harder,Sec VII-E,aicd/eval/reports/branch_c_fastdetect.json: zero-shot does not decline across the same conditions,measured,Reviewer noted this control is weak at AUC 0.55-0.70; reported as suggestive
Detectors key on surface lexical habit,Sec IX-A,aicd/eval/reports/transform_suite_corrected.json: rename -0.3936 conditional; binary AUC moves at most 0.0904,measured,Restricting to rows that still parse moves the effect by 0.9%
Augmentation does not restore transfer,Sec IX-B,aicd/eval/reports/e8_augment.json: drop 0.6232 inside the six-seed range,measured,Negative result; two rewrites not the full battery
Uncontrolled evaluation inflates macro-F1 by about 0.11,Sec IX-C,aicd/eval/reports/contamination_gpu.json: mean +0.1106; intervals exclude zero,measured,Class-matched; confounded by composition differences beyond exposure
The collapse reproduces on an independent corpus,Sec X-A,aicd/eval/reports/independent_taxonomy.json: 0.3224 three-class; 0.5455 [0.5321 0.5591] human/machine only,measured,"Much of the three-class figure is the hybrid class we mapped ourselves; both readings reported"
The exposure gradient reproduces on a second independent corpus,Sec X-B,aicd/eval/reports/codemirage_eval_base.json: 0.5086 / 0.4073 / 0.5365 non-monotone,CONTRADICTED,Reported as failing; stated in the abstract as a boundary on the account
The transformation battery generalises across detectors,not claimed,ran on the published detector only,NOT SUPPORTED,Recorded in Threats to Validity rather than claimed
Published-detector results reproduce the publisher's own figures,not claimed,all such numbers come from our reconstruction of DroidDetect-Base,NOT SUPPORTED,"Six-configuration probe bounds the inferred parts at 0.051 macro-F1; Large does not reconstruct at all"
